id,sentence,difficulty
1425,le repas est servi sur une table resplendissante recouverte de bougies et de petits santons,B2
1426,tu pourrais ranger ta chambre ça taiderait à les retrouver ,A2
1427,le 7 mars 1815 les dames étaient de retour depuis lavantveille dun charmant petit voyage de milan  elles se promenaient dans la belle allée de platanes récemment prolongée sur lextrême bord barque parut venant du côté de côme et fit des signes singuliers,C1
1428,ce nétait pas le cas il y a cent ans et cest très bien,A2
1429,les textos louent ici le même rôle quo les échanges épistolaires  ils sont un moyen de se remémorer la passion,C1
1430,mais la chute de neera tanden annonce les autres batailles plus rudes à venir au sénat,B2
1431,passionnée par lhistoire des civilisations disparues elle veut être archéologue,C1
1432,grâce à une enseigante il a finalement commencé à sintéresser à lécole,B1
1433,il y a un an jai décidé de ne plus manger de viande,A2
1434,le comte me découvrit dans lespèce de retraite où je métais réfugié  il vint à moi me prit par la main et me conduisit vers ellénore,C2
1435,je viens daller consulter un médecin car je ne pouvais plus dormir,B1
1436,le sens des textes qui se confond avec ces deux expériences apparait clairement comme inséparable du décalage pragmatique volontairement instauré entre loeuvre philosophique et le ridicule dune énonciation musicale,C2
1437,ses soeurs furent tellement enthousiasmées de son projet elles lembrassaient avec une joie si bruyante quil prit à la main quelques diamants qui restaient encore à cacher et voulut partir surlechamp,C1
1438,homeexchange la plateforme par laquelle la famille est passée a vu ses demandes déchanges de maison entre particuliers doubler cet été par rapport à lannée dernière,B1
1439,quil revienne sil lose ,B1
1440,un ânier son sceptre à la main menait en empereur romain deux coursiers à longues oreilles,B2
1441,or internet et les réseaux sociaux mobilisent toute notre attention et ne permettent pas de trouver cette tranquillité desprit,C1
1442,londres est différent de paris,A1
1443,la chasse est également liée à lexploitation forestière le commerce du gibier offrant des possibilités lucratives,B2
1444,je vais lui offrir un livre que jaime beaucoup  kurt et le poisson tu connais,A2
1445,jai vu christine et elle ma dit que tout va bien pour toi,A2
1446,donc juste dans ma zone personnelle donc je fais la mise en place pour une centaine de clients ce soir,A2
1447,il y a beaucoup de choses à faire à paris croismoi,A1
1448,il veut leur faire une surprise,A2
1449,si jai un accident mon coeur ou mon foie pourront être utilisés,B1
1450,le slogan 100  de nos clients achètent nos produits est une tautologie,C2
1451,pour voyager en sibérie à venise autour du monde essuyer une tempête en atlantique ou reconstruire une société sur une île déserte il suffit que nous ouvrions un livre,C2
1452,dans le cadre dune recherche en sociolinguistique urbaine sintéressant aux parlers de jeunes en parcours dinsertion sociale et professionnelle évoluant au sein de centres de formation nous nous sommes interrogées sur la construction et lhétérogénéité des interactions dans le cadre de situations de communication données dont témoigne la diversité des corpus recueillis,C2
1453,après la chute de napoléon certains personnages puissants à milan firent assommer dans les rues le comte prina ancien ministre du roi ditalie et homme du premier mérite,C1
1454,je naime pas dessiner,A1
1455,a 40 ans il est use,B2
1456,jusquà ce récit exceptionnel quest migrations premier roman de laustralienne charlotte mcconaghy sur des vies à bout de souffle,C1
1457,quel sport estce que vous faites ,A1
1458,jai deux frères,A1
1459,elle acheta une barque que fabrice la marquise et elle ornèrent de leurs mains car on manquait dargent pour tout au milieu de létat de maison le plus splendide  depuis sa disgrâce le marquis del dongo avait redoublé de faste aristocratique,C1
1460,un garçon tombé du midi à paris avec laudace aimable dun aventurier et dès le lendemain des histoires de femme une continuelle exploitation de la femme le scandale dun flagrant délit dont le quartier parlait encore  puis la conquête brusque et inexplicable de mme hédouin qui lui avait apporté le bonheur des dames,C2
1461,un bruit qui se produit dans lestomac quand on a faim,A2
1462,un saison parfaite pour les sorcières,A1
1463,il est entré dans la mauvaise chambre et a surpris des inconnus,B1
1464,cette deuxième explication plus tardive semble avoir lavantage pour certains de retirer les amérindiens de léquation ce qui entache dautant sa crédibilité,B2
1465,quelquefois je cherchais à contraindre mon ennui  je me réfugiais dans une taciturnité profonde  on prenait cette taciturnité pour du dédain,C2
1466,bonne semaine et à bientôt merci beaucoup lida ,A1
1467,mais on peut aussi imaginer un robot allié ou compagnon voire amant,C2
1468,cest un métier très complet,A1
1469,elle me raconta ce quelle avait souffert en essayant de séloigner de moi  que de fois elle avait espéré que je la découvrirais malgré ses efforts  comment le moindre bruit qui frappait ses oreilles lui paraissait annoncer mon arrivée  quel trouble quelle joie quelle crainte elle avait ressentis en me revoyant  par quelle défiance dellemême pour concilier le penchant de son coeur avec la prudence elle sétait livrée aux distractions du monde avait recherché la foule quelle fuyait auparavant,C2
1470,alors après on va bien distinguer dans les dettes  les dettes publiques privées multilatéralesvoilà parce que de quelles dettes parleton ,B2
1471,de là je contemplais ellénore  elle me parut légèrement changée elle était plus pâle que de coutume,C2
1472,savoir exactement quelle sera la météo quelles seront les soirées où vous devrez être habillée,B2
1473,je trouve quune lecture comme ça aide beaucoup à apprendre à mieux prononcer à connaître plus de vocabulaire et en plus cest très amusant,B1
1474,250 nouveaux talents seront sur le marché du travail dici la fin de lannée,B1
1475,tu as entendu ce bruit ,A2
1476,la communication numérique offre la possibilité de combler de nombreux besoins existentiels narcissiques et sociaux difficiles à satisfaire dans la vie réelle,B2
1477,la motocyclette était très peu fiable à ses débuts,B2
1478,selon les familles la soirée peut être animée par des lectures de contes horrifiques ou de poème évoquant halloween,B2
1479,après 13 ans lappareil articulatoire et phonatoire de lenfant se fige ce qui explique que les adultes ont tant de mal à apprendre les langues étrangères,C2
1480,jaimerais vous présenter un nouveau collègue jacques servat qui arrive de madrid où il vient de passer cinq ans dans un grand groupe dameublement au poste de chef déquipe des commerciaux,B1
1481,ceci dit il reste quentre lovule et le spermatozoïde on observe des différences secondaires des plus intéressantes  la singularité essentielle de lovule cest quil est chargé de matériaux destinés à nourrir et à protéger lembryon  il accumule des réserves aux dépens desquelles le foetus édifiera ses tissus réserves qui sont non une substance vivante mais une matière inerte  il en résulte quil présente une forme massive sphérique ou ellipsoïdale et quil est relativement volumineux  on sait quelles dimensions atteint loeuf de loiseau  chez la femme lovule mesure 0 13 mm de diamètre  tandis que dans le sperme humain on trouve 60 000 spermatozoïdes par millimètre cube  la masse du spermatozoïde est extrêmement réduite il a une queue filiforme une petite tête allongée aucune substance étrangère ne lalourdit il est tout entier vie  cette structure le voue à la mobilité  au lieu que lovule où se trouve engrangé lavenir du foetus est un élément fixe  enfermé dans lorganisme femelle ou suspendu dans un milieu extérieur il attend passivement la fécondation  cest le gamète mâle qui va à sa recherche  le spermatozoïde est toujours une cellule nue lovule est selon les espèces protégé ou non par une membrane  mais en tout cas dès que le spermatozoïde entre en contact avec lui il le bouscule le fait osciller et sinfiltre en lui  le gamète mâle abandonne sa queue sa tête se gonfle et dun mouvement tournant gagne le noyau  pendant ce temps loeuf forme aussitôt une membrane qui le ferme aux autres spermatozoïdes,C2
1482,peuxtu maider,A1
1483,votre amitié me soutenait  sans cette amitié je ne puis vivre,C2
1484,cest un immeuble gris pas très loin de lécole et de chez moi,A2
1485,la visio atténuera sans doute lémotion des retrouvailles et la solennité des adieux,C1
1486,il était déjà minuit et quart quand pierre est rentré chez lui,B1
1487,cependant une invincible timidité marrêtait  tous mes discours expiraient sur mes lèvres ou se terminaient tout autrement que je ne lavais projeté,C2
1488,sixtine nous a cassé les couilles sur le forum de gestion de projet,B2
1489,jai 20 ans,A1
1490,pis leurs compagnons peuvent être saisis dangoisse face à leur ménopause observe la psychanalyste jacqueline schaeffer,C1
1491,salut,A1
1492,ils habitent en face dune serveuse penny dont le rêve est de devenir actrice,B1
1493,alors en quelque mois éleveurs et fonctionnaires du montana abattent avec laccord du parc plus de 1000 bisons sans même vérifier sils sont porteurs de brucellose,C1
1494,tu prends une douche et tu vas au lit,A1
1495,il marcha pendant un an et un jour se nourrissant de fruits et de racines,B1
1496,cest cette première canicule qui avait notamment décidé greta thunberg à sasseoir avec sa pancarte devant le parlement de stockholm cétait le début de la grande mobilisation des jeunes pour le climat,B1
1497,mon petit frère a pris le bus public pour aller jouer au football avec ses copains,A2
1498,je crois à lexistence dun mammifère puissamment organisé appartenant à lembranchement des vertébrés comme les baleines les cachalots ou les dauphins et muni dune défense cornée dont la force de pénétration est extrême,C1
1499,or à prendre les choses rigoureusement lhomme est tout aussi déterminé à se mouvoir sous linfluence de causes externes quune pierre qui reçoit une impulsion,C2
1500,je nai pas très faim,A1
1501,nous pouvons affirmer avec certitude que cette zone était utilisée comme cimetière entre le dernier quart du ier siècle et la première moitié du iie siècle de notre ère,C1
1502,on cherche toujours à opposer lhumain et la machine,B1
1503,je les ai vues devant la pharmacie,A2
1504,un enseignement scolaire pour créer des liens entre les matières,C1
1505,coucou mes amis je réunis tous ceux que jaime bien pour fêter larrivée de lété le 21 juin,A1
1506,à vingt ans le prince était dune beauté splendide,B1
1507,alors le salon du chocolat est lévénement à ne pas manquer,A2
1508,un chat nommé rodilardus faisait de rats telle déconfiture que lon nen voyait presque plus tant il en avait mis dedans la sépulture,C2
1509,elle présente un style très cohérent car elle a été construite assez rapidement,C1
1510,elle fais ses devoirs puis prepare le diner et finalement elle regarde un film avant daller se coucher,B1
1511,le train de ma soeur arrive à 20h05,A1
1512,en un mot  toute ma vie,A2
1513,la trap ça reste du rap cest juste un petit dérivé,A2
1514,le stockage des déchets radioactifs présente un grand risque pour lenvironnement,B2
1515,tout dabord pourquoi ne pas considérer le travail comme une unique contrainte puisque dès son origine cette activité est désignée comme telle,C2
1516,cet essor est lié à la mise en place de mesures fiscales favorables aux parents,C1
1517,jai rendez vous chez le coiffeur,A1
1518,questce que vous mangez pour le petitdéjeuner ,A1
1519,et chez vous comment va la vie ,A1
1520,les fortunes détruites sont les chevrons des courtisanes,C2
1521,astu prévu quelque chose ,B1
1522,caterina serait selon la tradition fille de paysans pauvres,B2
1523,cest dramatique quils aient été amnésique suite au terrible accident survenu lors des tests de laboratoire,C1
1524,je tai attendu 1 heure devant le cinéma dans le froid,A2
1525,à terme plus de 300 déchetteries professionnelles collecteront gratuitement ces déchets qui seront ensuite transportés dans des centres de traitement où ils suivront le même circuit que les déchets ménagers  destruction dépollution puis réutilisation dans la fabrication de nouveaux équipements électroniques,B2
1526,pour recevoir nos annonces sur votre boîte mail inscrivezvous sur le site de notre agence dintérim adekifr,B2
1527,en attendant la retraite,A2
1528,toi tu peux apporter un jus de fruits,A1
1529,je suis persuadé que la robolution va profondément modifier notre système économique,C2
1530,il est très joyeux et il siffle,A1
1531,cétait une pièce vide et triste  aux parois lépreuses des murs seffiloquaient des débris daffiches officielles,C1
1532,ces défis environnementaux avec la mobilité internationale qui sintensifie les migrations de personnes et le commerce international de marchandises et de services montrent que la préservation du bienêtre revêt de plus en plus une dimension globale,C1
1533,lenseignement des langues dans lécole française est  comment dire ça poliment,C2
1534,la semaine sest ouverte lundi sur le parvis du trocadéro à paris par un événement symbolique en présence des adjointes pour les personnes handicapées au maire de paris,B1
1535,cette voiture ressemble à ma voiture,A1
1536,le plus inquiétant et scandaleux cest en mathématiques  il échange ses réponses et travaux pratiques à tout linternat contre rétribution ce qui explique les quantités de provisions et dobjets illégaux qui dans son placard,C1
1537,cette entreprise vient de sinstaller dans la région elle va recruter,B1
1538,la mort a figé le jeune homme dans une posture christique,C2
1539,je passe par la suisse,B1
1540,comme au judaïsme il lui oppose lidée dune jouissance sanctifiée,C2
1541,pour lui parler sa langue maternelle avec ses filles cest surtout transmettre quelque chose de la culture danoise,B1
1542,avezvous quelque chose à déclarer ,A1
1543,je vous rappelle vos rendezvous de demain mardi,A1
1544,chaque été nous nous rendons au chalet de mes grandsparents,B1
1545,un passager peut se tenir à califourchon derrière le pilote si la motocyclette est conçue pour,C2
1546,un instant sil vous plaît,A1
1547,quand le mystère est trop impressionnant on nose pas désobéir,B1
1548,nous proclamerons notre indépendence dès que larmistice sera signé,B2
1549,il est bien ce musée ,A1
1550,juste un peu,A1
1551,or le code du travail stipule que pour pouvoir bénéficier dun congé sabbatique le salarié doit remplir une double condition dancienneté de trentesix mois consécutifs ou non dans lentreprise et six années dactivité professionnelle antérieure,C1
1552,il a plusieurs choses à faire ce soir,A2
1553,je vis chez gérarda avec ma fille depuis deux ans,A1
1554,il commence à y avoir de la pluie et du vent cest le moment de sortir mon manteau et mon parapluie ,A1
1555,on les appelle les nouveaux pères ,B1
1556,tu veux venir avec moi demain soir au concert du chanteur m ,A2
1557,elle entend le clapotis de vagues le cri des enfants qui jouent la sirène dun bateau rentrant au port,B1
1558,cétait presque la première fois parce quelle ne sourit pas très souvent,B1
1559,à 40 ans il est usé,B1
1560,une vieille dame  celleci cest la harco làbas dans le fond cest la coucou de rennes,A2
1561,en parallèle les romans et les films de sciencefiction ont présenté des robots comme les transformers par exemple aux pouvoirs surhumains,C1
1562,en plus dune formation aux langages informatiques purs sayna impose aussi lapprentissage dune toute autre forme de code,B2
1563,si ces tests confirment lanomalie un médecin du service de transfusion prendra contact et informera le donneur au plus tard dans les dix jours qui suivent le prélèvement,C1
1564,mais si ça me fait plaisir daller à bâle avec vous,B1
1565,tout à coup il y eut un hurlement un craquement parmi les branches et un petit homoncule rose arriva vers nous en poussant des cris,C2
1566,en 2007 moins de 8 des déchets des entreprises ont fait lobjet dune collecte sélective un résultat largement inférieur à celui des déchets ménagers qui forment la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en france selon lagence de lenvironnement et de la maîtrise dénergie ademe,B2
1567,en occasionnel il sagit de 15 manches maximum la première équipe à gagner 8 manches lemporte,B2
1568,deux passions artistiques qui lui permettent daccéder à son premier rôle au cinéma  celui dune professeure de piano dans le film au revoir les enfants de louis malle,C1
1569,tu vois le château làbas ,A1
1570,on dirait quil y a beaucoup de travaux à faire,B1
1571,comme il ne pouvait pas sortir il senveloppa dans son manteau se coucha à terre et dormit comme les serpents,A2
1572,cela suppose de totalement repenser la classe évidemment puisque le cours le modèle transmissif classique doit être fait à la maison donc il faut dautres activités en classe des activités qui vont supposer en effet des questionnaires à choix multiple ou éventuellement lutilisation de boîtiers de vote des ateliers,C2
1573,cette notion désignait essentiellement et de façon pragmatique un équilibre purement mécanique entre les puissances du continent européen qui devait prévenir lapparition dune hégémonie quelconque lorsque léquilibre était troublé les autres états le reconstituaient quasi automatiquement en salliant contre le perturbateur,C2
1574,cest juste une petite infection on va vous soigner,B1
1575,et forestier presque couché sur le canapé une jambe repliée sous lui la serviette glissée dans son gilet pour ne point maculer son habit déclara 151 tout à coup avec un rire convaincu de sceptique  sacristi oui on sen paierait si on était sûr du silence bigre de bigre  les pauvres maris ,C2
1576,au fil de retours en arrière éclairant la vie passée de lhéroïne lécrivaine chronique par touches la disparition successive de plusieurs spécimens,C1
1577,les gamins vêtus pareillement à leurs papas semblaient incommodés par leurs habits neufs beaucoup même étrennèrent ce jourlà la première paire de bottes de leur existence et lon voyait à côté deux ne soufflant mot dans la robe blanche de sa première communion rallongée pour la circonstance quelque grande fillette de quatorze ou seize ans leur cousine ou leur soeur aînée sans doute rougeaude ahurie les cheveux gras de pommade à la rose et ayant bien peur de salir ses gants,C2
1578,quel dommage que personne ne veuille faire de discours pour son départ en retraite la semaine prochaine,B1
1579,neuf militants de long vêtus de jaune ou de blanc ont escaladé vers 9 heures du matin le grillage du tarmac de laéroport et se sont déployés autour dun avion boeing 777 de la compagnie air france stationné au sol et sans passager à bord,C1
1580,les enfants étaient allés dans le bois des chênes pour couper des branches et se faire des couronnes en feuilles à la manière des empereurs romains,B2
1581,la corruption se ressent à différents niveaux les salaires sont si bas que les employés sont tentés daccepter des potsdevin pour approuver des plans dexploitation quils nont jamais vus,B2
1582,jai eu soif et jai pris un café,A2
1583,pourtant ce geste familier rappelle quotidiennement la construction inégalitaire du monde initiée au xve siècle,C1
1584,votre nom comment ça sécrit ,A1
1585,je reste à la maison,A1
1586,je promène le chien de ma voisine qui est en vacances,A1
1587,il ne me laisse pas regarder la télévision,A1
1588,eh bien alors séduis fais ton odieux travail de technique et perds ton âme,C1
1589,la journée de dimanche a été particulièrement meurtrière avec au moins 18 morts dans les rangs des manifestants daprès les nations unies,B2
1590,le seuil de douleur est à environ 120 db mais loreille est vulnérable dès le seuil de 90 db avec une écoute de plusieurs heures,B2
1591,la tradition nordaméricaine veut quon se retrouve en famille pour manger une dinde farcie accompagnée dune purée de pommes de terre de patates douces dune gelée de canneberges et une tarte à la citrouille,B2
1592,tu es toujours étudiant ,A1
1593,avec les prévisions météo on peut savoir quel temps il fera le soir le lendemain ou dans la semaine,B1
1594,le concept est simple  chaque ménage peut déposer son appareil hors dusage contre lachat dun neuf chez le même distributeur,B2
1595,je suis déçu que la réunion dhier se termine de cette manière,B1
1596,je vous coupe les cheveux comme cela ,A1
1597,pourquoi il ne parle pas ,A1
1598,plusieurs caractéristiques des anciens rapports sociaux ont été conservées  notamment linterdisciplinarité on trouvera ici des contributions déconomistes de sociologues de politologues de démographes et le plurilinguisme le rapport est publié en allemand en français et en anglais afin douvrir et dinternationaliser le débat,C1
1599,mes plus subtils efforts sinanisèrent devant le parti pris mutiste du père de georges,C2
1600,le restaurant est sur votre gauche,A1
1601,a miparcours il doit souvent faire demitour,B2
1602,bientôt ce sera au tour des entreprises de bénéficier dune telle possibilité qui devrait permettre de collecter et de recycler près de 70 000 tonnes de déchets professionnels,B2
1603,en attendant pour le remplacer je vous présente notre nouveau cuisinier,B1
1604,le piment végétarien que lon appelle aussi piment végétal est un incontournable de la cuisine antillaise,C1
1605,le 24 décembre est le jour du réveillon,B2
1606,il a fait construire en plus une belle véranda contenant une bibliothèque pour profiter du soleil et dune vue sur le jardin,B1
1607,lengouement pour les potagers sinscrit dans le mouvement du développement de lautonomie alimentaire un mouvement accentué par cette crise du coronavirus,B2
1608,quand je lai vu mon coeur sest mis à battre très fort,B1
1609,questce qui peut bien poser probleme dans ces petits livrets pourtant plutot attractifs pour que seuls 23 4  de leurs detenteurs arrivent au bout ,C2
1610,le maître et le chien doivent bien se connaître mais aussi et surtout bien se comprendre,B1
1611,quand je me suis levé ce matin javais un mal de ventre horrible,B1
1612,telle est lanalyse de lunion fédérale des consommateurs qui a demandé mardi 9 août en dévoilant une synthèse sur le sujet une profonde inflexion dans la gestion des ressources disponibles,C2
1613,je ne crois pas quon doive interdire aux gens de revenir si cest leur volonté mais ils devraient disposer dun logement ailleurs au cas où,B1
1614,la production disparut presque totalement en france,B2
1615,jai de la chance davoir vu le spectacle plus de 500 fois,A2
1616,tu as vu mes soeurs,A1
1617,le lendemain de son 50ème anniversaire on lui diagnostique un cancer du poumon en phase terminale avec une espérance de vie estimée à deux ans,C1
1618,avec la lutte contre le séparatisme une stratégie dentrave et répressive contre lislam radical est mise en oeuvre,C1
1619,et lorsquils commencent à ôter le plancher de la salle à manger ils découvrent du sang coagulé,B2
1620,il tordonne de partir immédiatement ,A2
1621,serait  ce que la vie semble dautant plus réelle que toutes les illusions disparaissent comme la cime des rochers se dessine mieux dans lhorizon lorsque les nuages se dissipent ,C2
1622,une frange de la population sen trouve exclue et souffre tant des conditions matérielles à laquelle elle est réduite que du regard porté sur elle,C2
1623,lauteur souhaite encourager les femmes à simpliquer en mathématiques,B2
1624,je cours dans ma chambre et je me dépêche de mhabiller et de me maquiller puis je vais prendre le métro,A2
1625,jamais moi je parlerai comme ça de mon père,A2
1626,nous avons réfléchi et nous avons choisi un bonbon,A2
1627,malgré la montée des problèmes liés à lobésité la priorité absolue de la fao reste la lutte contre la faim car 840 millions de personnes continuent de souffrir chroniquement de sousalimentation,C1
1628,une vision qui rejoint celle de d méda  elle en appelle également à désenchanter le travail cestàdire à relativiser sa place dans nos sociétés au profit des activités sociales et politiques qui développent lautonomie et la coopération,C2
1629,les étudiantes se seraient assises sur un banc en vous attendant,B2
1630,quand on était petit on apprenait à marcher,A2
1631,mais à la fin monsieur quelle raison avezvous de haïr montfleury ,B1
1632,autrefois la faune et la flore partout mais maintenant nos villes ne sont plus que des blocs de béton,B2
1633,il eût fallu que le curé luimême sût cette langue  or elle était lobjet de ses mépris  ses connaissances en ce genre se bornaient à réciter par coeur les prières de son missel dont il pouvait rendre à peu près le sens à ses ouailles,C2
1634,un chien comme djengo est éduqué ou dressé pour accompagner une personne aveugle ou qui voit mal et pour laider dans ses déplacements quotidiens,B1
1635,le rap cest plus pour moi boom bap un peu ce qui se faisait avant,A2
1636,je me souviens dun ete durant lequel nous nous etions beaucoup deplaces en caravane,C2
1637,les parents de mon mari habitent très loin de chez nous mais mes parents ont une maison à quelques kilomètres de la nôtre,A1
1638,le vernissage aura lieu le 22 juin à la galerie de la calande,B2
1639,pour moi les médecins et les infirmières sont des héros sans costume,A2
1640,et on ira manger une gaufre juste après ça te dit ,A1
1641,il est reconnu utile pour les adultes qui travaillent surtout pour les médecins les reporters  ceux qui doivent voyager ou encore en cas de pépin de panne sur lautoroute daccident,B2
1642,ma femme ma dit que tu es trés gentille,A2
1643,jai obtenu ce que je voulais je suis satisfait,A2
1644,un crime immotivé quel embarras pour la police,C2
1645,ne pas avaler,A2
1646,ils disaient ça  mais en fait jai eu tort,A2
1647,vous avez bien entendu ce que le professeur a dit avant,A2
1648,vous êtes donc à la rédaction dinter spécialiste des questions environnementales et nous fêtons aujourdhui les trente ans du conservatoire du littoral,C1
1649,pendant que les humains bavardaient mimi le caniche fido le berger allemand et moi on se donnait les nouvelles du quartier et on reniflait les nouveaux arrivants,C1
1650,pour être naturalisé il faut constituer un dossier et remplir certaines conditions,B2
1651,le départ est le seul horizon offert à ceux qui cherchent les mille écrins où le destin cache les solutions de ses mille erreurs,C1
1652,quand il recevra cette déclaration il constatera que tu es sincère et il sapercevra que tu laimes vraiment,B1
1653,au cours des années 1970 et 1980 plusieurs groupes environnementalistes de pays industrialisés deurope de louest et damérique du nord ont organisé des campagnes contre la chasse aux baleines et aux phoques,C1
1654,ces fromages sont en quelque sorte une garantie pour le bienêtre des vaches et des chèvres et pour la préservation du terroir,B2
1655,quen pensezvous ,A1
1656,en fait ma mère préfère faire le ménage toute seule parce que moi je casse tout,A2
1657,et bien pourquoi pas ,A2
1658,il ne savait rien sinon quelle se rassemblait vers maubeuge,B2
1659,versez peu à peu la farine dans le mélange oeufsucre pour éviter les grumeaux,C1
1660,fabrice se jeta après elle pour la sauver et tous deux furent entraînés assez loin,C1
1661,ce soir je suis allé faire les courses pour notre piquenique de demain  nous allons faire une randonnée sur le plus grand volcan de lîle,A2
1662,le corgi a lallure dun petit renard,A2
1663,on a dû écouter nos parents,A2
1664,nous bénéficions de moyens financiers suffisants et justifier les raisons de leur séjour,C1
1665,instinctivement je regardai ma montre  deux heures du matin,C1
1666,les dix minutes vingt personnes sont autorisées à gravir lescalier en colimaçon,C2
1667,tu ne devrais pas prendre le même pull que ton père,B1
1668,je savais bien que jétais assise depuis trop longtemps,B1
1669,bruxelles est en droit de défendre les politiques quelle conduit,B1
1670,ce quil aime par dessus tout cest le bricolage,A2
1671,il ny a pas eu de pluie depuis notre arrivée,B1
1672,reprochant aux autorités administratives labsence de politique forestière à long terme ils profitent de la durée de leurs permis pour exploiter sans discernement tout ce qui peut se vendre afin daccroître leurs marges bénéficiaires,B2
1673,jai bien aimé le film,A2
1674,jeudi on va au restaurant pour lanniversaire de ma soeur,A2
1675,les vents ne se calmèrent quau petit matin,A2
1676,et tous les terrains nathalie qui ont été acquis par le conservatoire sont effectivement ouverts au public,C1
1677,pour accroître leur compétitivité les multinationales qui contrôlent par exemple les marchés mondiaux du café et de la banane tirent sans cesse les prix dachat vers le bas,C1
1678,au bout du petit matin léchouage hétéroclite les puanteurs exacerbées de la corruption les sodomies monstrueuses de lhostie et du victimaire les coltis infranchissables du préjugé et de la sottise les prostitutions les hypocrisies les lubricités les trahisons les mensonges les faux les concussions  lessoufflement des lâchetés insuffisantes lenthousiasme sans ahan aux poussis surnuméraires les avidités les hystéries les perversions les arlequinades de la misère les estropiements les prurits les urticaires les hamacs tièdes de la dégénérescence ici la parade des risibles et scrofuleux bubons les poutures de microbes très étranges le poisons sans alexitère connu les sanies de plaies bien antiques les fermentations imprévisibles despèces putrescibles,C2
1679,oui je lai reçue hier,B1
1680,je suis contente je vais voir amélie,A1
1681,il y a leau quon consomme en pleine conscience en la voyant couler et celle que lon consomme voire que lon gâche sans le savoir elle sappelle leau virtuelle,B1
1682,ce code si lon en jugeait par lentêtement soudain quelle mettait à ne pas vouloir faire certaines commissions que nous lui donnions semblait avoir prévu des complexités sociales et des raffinements mondains tels que rien dans lentourage de françoise et dans sa vie de domestique de village navait pu les lui suggérer  et lon était obligé de se dire quil y avait en elle un passé français très ancien noble et mal compris comme dans ces cités manufacturières où de vieux hôtels témoignent quil y eut jadis une vie de cour et où les ouvriers dune usine de produits chimiques travaillent au milieu de délicates sculptures qui représentent le miracle de saint théophile ou les quatre fils aymon,C2
1683,ses propos ultramonarchiques irritaient les populations quon voulait plonger dans le sommeil et lincurie,C1
1684,tu nas pas de stylo ,A1
1685,boum voilà on arrive on veut faire du vélo en famille et on a les vacances,B1
1686,nous savions pertinemment quêtre aussi justes financièrement nétait pas normal,B2
1687,en le voyant vous comprendez mieux,B1
1688,il lavait tenue là sévèrement enfermée cloîtrée ignorée et ignorante des choses humaines,C1
1689,tout va bien merci,A1
1690,a samedi ,A1
1691,hier en raison de violents orages des villageois ont été privés délectricité,B2
1692,là encore la continuité de tous les choix possibles la tolérance constitue quelle que soit lannée la valeur ou qualité la plus souvent choisie par les enquêtes commente le chargé de recherche à la fondation nationale des sciences politiques,B2
1693,ils auraient voulu que ces vacances ne finissent jamais mais ils rentrés des souvenirs plein la tête,B2
1694,serveur  bonsoir madame en quoi puisje vous aider ,A2
1695,il y a beaucoup de désordre dans lappartement,A1
1696,il suffit de rester 30 minutes dans la cabine lirva pour être capable de se débrouiller dans toutes les situations de la vie quotidienne et dans la langue de son choix,A1
1697,ce réseau de lieux se déploie à léchelle européenne non sans rencontrer des barrières linguistiques lallemand ou des frontières difficiles à franchir de la france,C1
1698,dis donc il fait beau en ce moment  lété nest plus très loin,B1
1699,je taime,A1
1700,son accent est si naturel que cela na posé aucun problème,B1
1701,depuis 2006 les particuliers français peuvent recycler des déchets déquipements électriques et électroniques grâce à la reprise un pour un ,B2
1702,après de longs efforts il parvint à se faire aimer  et comme il ne mavait point caché ses revers et ses peines il se crut obligé de me communiquer ses succès  rien négalait ses transports et lexcès de sa joie,C2
1703,il joue dans le jardin avec un ballon,A1
1704,souvent plus productif que les autres  il crée un effet fédérateur dans une équipe de travail où les petits problèmes courants sont relativisés ,B1
1705,cest quelquun sur qui vous pouvez compter vous pouvez vous fier à lui,B1
1706,une petite marque au front des cicatrices sur le corps et une démarche légèrement claudicante étaient les seules traces visibles de laccident quelle avait subi un an et demi auparavant,B2
1707,cela peut être perçu comme étant très réducteur ,B2
1708,ses soutiens la voient comme une militante acharnée de lécologie qui nhésite pas à faire entendre sa voix,C1
1709,quel âge tu as ,A1
1710,désormais il concentra tous les pouvoirs entre ses mains,B2
1711,deux drôles effroyables mais très polis me firent gracieusement place sur le divan de paille et le café que je pris là était certainement meilleur que la décoction noire du plus célèbre café de paris,C1
1712,parce que les révisions aident à faire retrouver la trace du rangement au sein de sa mémoire ajoutetil,C2
1713,dès cette époque il existe des établissements spécialisés pour la préparation des concours pour la plupart des institutions privées,C2
1714,elles obligent les partenaires à un effort permanent de communication pour maintenir un modus vivendi enrichi dimagination,C2
1715,mesdames votre attention sil vous plaît,A1
1716,la mission de lécole a changé,A2
1717,si quelquesuns échappent à cette destinée générale ils renferment en euxmêmes leur dissentiment secret  ils aperçoivent dans la plupart des ridicules le germe des vices  ils nen plaisantent plus parce que le mépris remplace la moquerie et que le mépris est silencieux,C2
1718,je taurais bien envoyé une photo mais nous navons pas dappareil,B1
1719,allons qui est celui qui veut ouvrir la liste ,B1
1720,et en août nous passerons peutêtre quelques jours dans les montagnes,B1
1721,il na fallu que 12 ans entre 1999 et 2011 pour que la population mondiale passe de 6 à 7 milliards dhabitants,B1
